Type,FirstRound,SecondRound,SweetSixteen,EliteEight,FinalFour,Championship,Total
CoinFlip,120.0,80.0,80.0,80.0,0.0,0.0,360.0
FiveThirtyEight,270.0,260.0,120.0,0.0,0.0,0.0,650.0
CoinFlip,140.0,100.0,80.0,160.0,160.0,320.0,960.0
FiveThirtyEight,280.0,260.0,200.0,160.0,160.0,0.0,1060.0
CoinFlip,170.0,100.0,120.0,160.0,0.0,0.0,550.0
FiveThirtyEight,270.0,240.0,200.0,80.0,0.0,0.0,790.0
CoinFlip,150.0,60.0,80.0,0.0,0.0,0.0,290.0
FiveThirtyEight,250.0,260.0,200.0,160.0,160.0,0.0,1030.0
CoinFlip,150.0,100.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,230.0,220.0,200.0,160.0,0.0,0.0,810.0
CoinFlip,100.0,20.0,0.0,0.0,0.0,0.0,120.0
FiveThirtyEight,240.0,220.0,120.0,80.0,0.0,0.0,660.0
CoinFlip,170.0,60.0,40.0,0.0,0.0,0.0,270.0
FiveThirtyEight,260.0,200.0,240.0,80.0,160.0,320.0,1260.0
CoinFlip,180.0,100.0,40.0,0.0,0.0,0.0,320.0
FiveThirtyEight,310.0,220.0,200.0,240.0,0.0,0.0,970.0
CoinFlip,140.0,60.0,40.0,0.0,0.0,0.0,240.0
FiveThirtyEight,250.0,260.0,80.0,80.0,0.0,0.0,670.0
CoinFlip,200.0,40.0,80.0,80.0,0.0,0.0,400.0
FiveThirtyEight,240.0,260.0,280.0,240.0,160.0,0.0,1180.0
CoinFlip,170.0,100.0,120.0,0.0,0.0,0.0,390.0
FiveThirtyEight,250.0,200.0,200.0,160.0,160.0,0.0,970.0
CoinFlip,130.0,60.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,270.0,240.0,200.0,80.0,0.0,0.0,790.0
CoinFlip,110.0,60.0,40.0,80.0,0.0,0.0,290.0
FiveThirtyEight,290.0,240.0,200.0,160.0,0.0,0.0,890.0
CoinFlip,220.0,120.0,0.0,0.0,0.0,0.0,340.0
FiveThirtyEight,260.0,280.0,200.0,160.0,160.0,320.0,1380.0
CoinFlip,180.0,80.0,80.0,80.0,160.0,0.0,580.0
FiveThirtyEight,280.0,280.0,240.0,160.0,0.0,0.0,960.0
CoinFlip,190.0,120.0,80.0,0.0,0.0,0.0,390.0
FiveThirtyEight,280.0,220.0,200.0,160.0,0.0,0.0,860.0
