Age,Power_House,Power_Senate,Power_Total
18 to 24,3.386799862936989,0.7631258291403195,6.7063972196973785
25 to 34,3.3902024585382526,0.7776621993770405,6.773033025828378
35 to 44,3.3831380574720034,0.793368196264103,6.834289711220851
45 to 64,3.372510760102923,0.7787639800697079,6.760134073406152
65+,3.3778456705237057,0.7690826350358178,6.7233551329295125
