1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
50,AZ,Arizona,S,S6AZ00399,,Anthony,Camboni,"Camboni, Anthony",,W,,,,,45,0.00%,,,,,,
51,AZ,Arizona,S,S2AZ00273,,Sheila ,Bilyeu,"Bilyeu, Sheila ",,W,,,,,34,0.00%,,,,,,
52,AZ,Arizona,S,S6AZ00381,,"Gene, II",Scott,"Scott, Gene, II",,W,,,,,7,0.00%,,,,,,
53,AZ,Arizona,S,S0AZ00327,,Santos,Chavez,"Chavez, Santos",,W,,,,,4,0.00%,,,,,,
54,AZ,Arizona,S,n/a,,,,,Total State Votes:,,"926,948",,,,"2,530,730",,,,,,,
55,AZ,Arizona,S,n/a,,,,,,,,,,,,,,,,,,
56,,,S,n/a,,,,,,,,,,,,,,,,,,
57,AR,Arkansas,S,S0AR00150,(I),John,Boozman,"Boozman, John",,R,"298,039",76.45%,,,"661,984",59.77%,,,,,W,
58,AR,Arkansas,S,S0AR00036,,Curtis,Coleman,"Coleman, Curtis",,R,"91,795",23.55%,,,,,,,,,,
59,AR,Arkansas,S,n/a,,,,,Party Votes:,R,"389,834",,,,,,,,,,,
60,AR,Arkansas,S,S6AR00132,,Conner,Eldridge,"Eldridge, Conner",,D,Unopposed,,,,"400,602",36.17%,,,,,,
61,AR,Arkansas,S,S6AR00140 ,,Frank,Gilbert,"Gilbert, Frank",,LIB,,,,,"43,866",3.96%,,,,,,
62,AR,Arkansas,S,S6AR00157,,Jason,Tate,"Tate, Jason",,W,,,,,"1,070",0.10%,,,,,,
63,AR,Arkansas,S,n/a,,,,,Total State Votes:,,"389,834",,,,"1,107,522",,,,,,,
64,,,S,n/a,,,,,,,,,,,,,,,,,,
65,CA,California,S,S6CA00584 ,,Kamala D. ,Harris,"Harris, Kamala D. ",,D,"3,000,689",39.94%,,,"7,542,759",61.60%,,,,,W,
66,CA,California,S,S6CA00691 ,,Loretta L.,Sanchez,"Sanchez, Loretta L.",,D,"1,416,203",18.85%,,,"4,701,417",38.40%,,,,,,
67,CA,California,S,S6CA00741 ,,Duf,Sundheim,"Sundheim, Duf",,R,"584,251",7.78%,,,,,,,,,,
68,CA,California,S,S6CA00667 ,,Phil,Wyman,"Wyman, Phil",,R,"352,821",4.70%,,,,,,,,,,
69,CA,California,S,S6CA00683 ,,Thomas G.,Del Beccaro,"Del Beccaro, Thomas G.",,R,"323,614",4.31%,,,,,,,,,,
70,CA,California,S,S2CA00740,,Greg,Conlon,"Conlon, Greg",,R,"230,944",3.07%,,,,,,,,,,
71,CA,California,S,S6CA00873 ,,Steve,Stokes,"Stokes, Steve",,D,"168,805",2.25%,,,,,,,,,,
72,CA,California,S,S6CA00931,,George C.,Yang,"Yang, George C.",,R,"112,055",1.49%,,,,,,,,,,
73,CA,California,S, S6CA00923,,Karen ,Roseberry,"Roseberry, Karen ",,R,"110,557",1.47%,,,,,,,,,,
