1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
194,ID,Idaho,S,S6ID00112,,Jerry ,Sturgill,"Sturgill, Jerry ",,D,"26,471",100.00%,,,"188,249",27.73%,,,,,,
195,ID,Idaho,S,n/a,,,,,Party Votes:,D,"26,471",,,,,,,,,,,
196,ID,Idaho,S,S6ID00104,,Ray J.,Writz,"Writz, Ray J.",,CON,131,59.55%,,,"41,677",6.14%,,,,,,
197,ID,Idaho,S,S8ID00191,,,Pro-Life,Pro-Life,,CON,89,40.45%,,,,,,,,,,
198,ID,Idaho,S,n/a,,,,,Party Votes:,CON,220,,,,,,,,,,,
199,ID,Idaho,S,n/a,,,,,Total State Votes:,,"146,324",,,,"678,943",,,,,,,
200,ID,Idaho,S,n/a,,,,,,,,,,,,,,,,,,
201,,,S,n/a,,,,,,,,,,,,,,,,,,
202,IL,Illinois,S,S6IL00292 ,,Tammy,Duckworth,"Duckworth, Tammy",,D,"1,220,128",64.38%,,,"3,012,940",54.86%,,,,,W,
203,IL,Illinois,S,S6IL00300 ,,Andrea ,Zopp,"Zopp, Andrea ",,D,"455,729",24.05%,,,,,,,,,,
204,IL,Illinois,S,S6IL00342 ,,Napoleon,Harris,"Harris, Napoleon",,D,"219,286",11.57%,,,,,,,,,,
205,IL,Illinois,S,n/a,,Patricia Elaine ,Beard,"Beard, Patricia Elaine ",,W(D),1,0.00%,,,,,,,,,,
206,IL,Illinois,S,n/a,,,,,Party Votes:,D,"1,895,144",,,,,,,,,,,
207,IL,Illinois,S,S0IL00261 ,(I),Mark Steven,Kirk,"Kirk, Mark Steven",,R,"931,619",70.57%,,,"2,184,692",39.78%,,,,,,
208,IL,Illinois,S,S6IL00334 ,,James T.,Marter,"Marter, James T.",,R,"388,571",29.43%,,,,,,,,,,
209,IL,Illinois,S,n/a,,,,,Party Votes:,R,"1,320,190",,,,,,,,,,,
210,IL,Illinois,S,S6IL00383,,Kenton,McMillen,"McMillen, Kenton",,LIB,,,,,"175,988",3.20%,,,,,,
211,IL,Illinois,S,S4IL00388,,Scott,Summers,"Summers, Scott",,GRE,,,,,"117,619",2.14%,,,,,,
212,IL,Illinois,S,S2IL00044,,Chad,Koppie,"Koppie, Chad",,W,,,,,408,0.01%,,,,,,
213,IL,Illinois,S,S6IL00318,,Jim,Brown,"Brown, Jim",,W,,,,,106,0.00%,,,,,,
214,IL,Illinois,S,n/a,,Christopher,Aguayo,"Aguayo, Christopher",,W,,,,,77,0.00%,,,,,,
215,IL,Illinois,S,n/a,,Susana,Sandoval,"Sandoval, Susana",,W,,,,,42,0.00%,,,,,,
216,IL,Illinois,S,n/a,,Eric Kufi James,Stewart,"Stewart, Eric Kufi James",,W,,,,,5,0.00%,,,,,,
217,IL,Illinois,S,n/a,,Patricia,Beard,"Beard, Patricia",,W,,,,,1,0.00%,,,,,,
218,IL,Illinois,S,n/a,,,,,Total State Votes:,,"3,215,334",,,,"5,491,878",,,,,,,
219,IL,Illinois,S,n/a,,,,,,,,,,,,,,,,,,
220,,,S,n/a,,,,,,,,,,,,,,,,,,
221,IN,Indiana,S,S6IN00191 ,,Todd,Young,"Young, Todd",,R,"661,136",67.08%,,,"1,423,991",52.11%,,,,,W,
222,IN,Indiana,S,S0IN00095,,Marlin A.,Stutzman,"Stutzman, Marlin A.",,R,"324,429",32.92%,,,,,,,,,,
223,IN,Indiana,S,n/a,,,,,Party Votes:,R,"985,565",,,,,,,,,,,
224,IN,Indiana,S,S8IN00049,,Evan,Bayh,"Bayh, Evan  #",,D,,,,,"1,158,947",42.41%,,,,,,"#  Baron Hill withdrew after the primary election and Evan Bayh was selected by the party on July 22, 2016, to fill the vacancy on the general election ballot."
225,IN,Indiana,S,S0IN00061 ,,Baron,Hill,"Hill, Baron  #",,D,"516,183",100.00%,,,,,,,,,,"#  Baron Hill withdrew after the primary election and Evan Bayh was selected by the party on July 22, 2016, to fill the vacancy on the general election ballot."
226,IN,Indiana,S,n/a,,,,,Party Votes:,D,"516,183",,,,,,,,,,,
227,IN,Indiana,S,S6IN00225,,Lucy,Brenton,"Brenton, Lucy",,LIB,*,,,,"149,481",5.47%,,,,,,"The Libertarian Party nominated by convention on April 23, 2016.  Convention nominee is noted with an asterisk."
228,IN,Indiana,S,S2IN00117,,James L.,Johnson,"Johnson, James L.",,W,,,,,127,0.00%,,,,,,
229,IN,Indiana,S,n/a,,,,,Total State Votes:,,"1,501,748",,,,"2,732,546",,,,,,,
230,IN,Indiana,S,n/a,,,,,,,,,,,,,,,,,,
231,,,S,n/a,,,,,,,,,,,,,,,,,,
232,IA,Iowa,S,S0IA00028,(I),Charles E.,Grassley,"Grassley, Charles E.",,R,"90,089",98.36%,,,"926,007",60.09%,,,,,W,
233,IA,Iowa,S,n/a,,,Scattered,Scattered,,W(R),"1,500",1.64%,,,,,,,,,,
234,IA,Iowa,S,n/a,,,,,Party Votes:,R,"91,589",,,,,,,,,,,
235,IA,Iowa,S,S6IA00140,,Patty ,Judge,"Judge, Patty ",,D,"46,322",47.62%,,,"549,460",35.66%,,,,,,
236,IA,Iowa,S,S6IA00124,,Robert M,Hogg,"Hogg, Robert M",,D,"37,801",38.86%,,,,,,,,,,
237,IA,Iowa,S,S0IA00119,,Thomas L.,Fiegen,"Fiegen, Thomas L.",,D,"6,573",6.76%,,,,,,,,,,
238,IA,Iowa,S,S0IA00101,,Bob,Krause,"Krause, Bob",,D,"6,425",6.60%,,,,,,,,,,
239,IA,Iowa,S,n/a,,,Scattered,Scattered,,W(D),154,0.16%,,,,,,,,,,
240,IA,Iowa,S,n/a,,,,,Party Votes:,D,"97,275",,,,,,,,,,,
241,IA,Iowa,S,S6IA00165,,Charles,Aldrich,"Aldrich, Charles",,LIB,,,,,"41,794",2.71%,,,,,,
242,IA,Iowa,S,S6IA00173,,Jim,Hennager,"Hennager, Jim",,NPI,,,,,"17,649",1.15%,,,,,,
243,IA,Iowa,S,S6IA00157,,Michael,Luick-Thrams,"Luick-Thrams, Michael",,NNE,,,,,"4,441",0.29%,,,,,,
244,IA,Iowa,S,n/a,,,Scattered,Scattered,,W,,,,,"1,685",0.11%,,,,,,
245,IA,Iowa,S,n/a,,,,,Total State Votes:,,"188,864",,,,"1,541,036",,,,,,,
246,IA,Iowa,S,n/a,,,,,,,,,,,,,,,,,,
247,IA,Iowa,S,n/a,,,,,,,,,,,,,,,,,,
248,,,S,n/a,,,,,,,,,,,,,,,,,,
249,KS,Kansas,S,S0KS00091,(I),Jerry,Moran,"Moran, Jerry",,R ,"230,907",79.09%,,,"732,376",62.18%,,,,,W,
250,KS,Kansas,S,S4KS00150,,DJ,Smith,"Smith, DJ",,R ,"61,056",20.91%,,,,,,,,,,
251,KS,Kansas,S,n/a,,,,,Party Votes:,R,"291,963",,,,,,,,,,,
252,KS,Kansas,S,S0KS00166,,Patrick,Wiesner,"Wiesner, Patrick",,D ,"59,522",62.94%,,,"379,740",32.24%,,,,,,
253,KS,Kansas,S,S6KS00213,,Monique,Singh,"Singh, Monique",,D ,"35,042",37.06%,,,,,,,,,,
254,KS,Kansas,S,n/a,,,,,Party Votes:,D,"94,564",,,,,,,,,,,
255,KS,Kansas,S,S6KS00221,,Robert D.,Garrard,"Garrard, Robert D.",,LIB,*,,,,"65,760",5.58%,,,,,,"* The Libertarian Party nominated by convention on April 30, 2016.  Convention nominee is noted with an asterisk."
256,KS,Kansas,S,S4KS00150,,DJ,Smith,"Smith, DJ",,W,,,,,46,0.00%,,,,,,
257,KS,Kansas,S,n/a,,,,,Total State Votes:,,"386,527",,,,"1,177,922",,,,,,,
258,KS,Kansas,S,n/a,,,,,,,,,,,,,,,,,,
259,,,S,n/a,,,,,,,,,,,,,,,,,,
260,KY,Kentucky,S,S0KY00156,(I),Rand,Paul,"Paul, Rand",,R,"169,180",84.79%,,,"1,090,177",57.27%,,,,,W,
261,KY,Kentucky,S,S6KY00179,,James R.,Gould,"Gould, James R.",,R,"16,611",8.33%,,,,,,,,,,
262,KY,Kentucky,S,S6KY00187,,Stephen Howard,Slaughter,"Slaughter, Stephen Howard",,R,"13,728",6.88%,,,,,,,,,,
263,KY,Kentucky,S,n/a,,,,,Party Votes:,R,"199,519",,,,,,,,,,,
264,KY,Kentucky,S,S6KY00120,,Jim,Gray,"Gray, Jim",,D,"240,598",58.73%,,,"813,246",42.72%,,,,,,
265,KY,Kentucky,S,S6KY00161,,Sellus,Wilder,"Wilder, Sellus",,D,"52,729",12.87%,,,,,,,,,,
266,KY,Kentucky,S,S6KY00146,,Ron,Leach,"Leach, Ron",,D,"39,026",9.53%,,,,,,,,,,
267,KY,Kentucky,S,S4KY00158,,Tom,Recktenwald,"Recktenwald, Tom",,D,"21,910",5.35%,,,,,,,,,,
268,KY,Kentucky,S,S6KY00153,,Grant T.,Short,"Short, Grant T.",,D,"21,558",5.26%,,,,,,,,,,
269,KY,Kentucky,S,S6KY00138,,Jeff,Kender,"Kender, Jeff",,D,"20,237",4.94%,,,,,,,,,,
270,KY,Kentucky,S,S6KY00112,,Rory,Houlihan,"Houlihan, Rory",,D,"13,585",3.32%,,,,,,,,,,
271,KY,Kentucky,S,n/a,,,,,Party Votes:,D,"409,643",,,,,,,,,,,
272,KY,Kentucky,S,S0KY00255,,Billy Ray,Wilson,"Wilson, Billy Ray",,W,,,,,36,0.00%,,,,,,
273,KY,Kentucky,S,n/a,,Angel,Doss,"Doss, Angel",,W,,,,,6,0.00%,,,,,,
274,KY,Kentucky,S,n/a,,,,,Total State Votes:,,"609,162",,,,"1,903,465",,,,,,,
275,,,S,n/a,,,,,,,,,,,,,,,,,,
276,LA,Louisiana,S,S4LA00065,,John,Kennedy,"Kennedy, John",,R,,,,,"482,591",24.96%,"536,191",60.65%,,,W,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
277,LA,Louisiana,S,S6LA00359,,Foster,Campbell,"Campbell, Foster",,D,,,,,"337,833",17.47%,"347,816",39.35%,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
278,LA,Louisiana,S,S6LA00300,,Charles,Boustany,"Boustany, Charles",,R,,,,,"298,008",15.41%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
279,LA,Louisiana,S,S6LA00334,,Caroline,Fayard,"Fayard, Caroline",,D,,,,,"240,917",12.46%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
280,LA,Louisiana,S,S6LA00318,,John,Fleming,"Fleming, John",,R,,,,,"204,026",10.55%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
281,LA,Louisiana,S,S4LA00115,,"""Rob""",Maness,"Maness, ""Rob""",,R,,,,,"90,856",4.70%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
282,LA,Louisiana,S,S0LA00071,,David,Duke,"Duke, David",,R,,,,,"58,606",3.03%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
283,LA,Louisiana,S,S6LA00342,,Derrick,Edwards,"Edwards, Derrick",,D,,,,,"51,774",2.68%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
284,LA,Louisiana,S,S6LA00391,,Gary,Landrieu,"Landrieu, Gary",,D,,,,,"45,587",2.36%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
285,LA,Louisiana,S,S6LA00383,,"Donald ""Crawdaddy""",Crawford,"Crawford, Donald ""Crawdaddy""",,R,,,,,"25,523",1.32%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
286,LA,Louisiana,S,S6LA00326,,"""Joseph""",Cao,"Cao, ""Joseph""",,R,,,,,"21,019",1.09%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
287,LA,Louisiana,S,S6LA00441,,Beryl,Billiot,"Billiot, Beryl",,NPA,,,,,"19,352",1.00%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
288,LA,Louisiana,S,S4LA00149,,Thomas P.,Clements,"Clements, Thomas P.",,LIB,,,,,"11,370",0.59%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
289,LA,Louisiana,S,S6LA00458,,Troy,Hebert,"Hebert, Troy",,NPA,,,,,"9,503",0.49%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
290,LA,Louisiana,S,S6LA00367,,Joshua,Pellerin,"Pellerin, Joshua",,D,,,,,"7,395",0.38%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
291,LA,Louisiana,S,S6LA00417,,Peter,Williams,"Williams, Peter",,D,,,,,"6,855",0.35%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
292,LA,Louisiana,S,S6LA00409,,"MV ""Vinny""",Mendoza,"Mendoza, MV ""Vinny""",,D,,,,,"4,927",0.25%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
293,LA,Louisiana,S,S6LA00466,,Kaitlin,Marone,"Marone, Kaitlin",,NPA,,,,,"4,108",0.21%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
294,LA,Louisiana,S,S6LA00433,,Le Roy,Gillam,"Gillam, Le Roy",,LIB,,,,,"4,067",0.21%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
295,LA,Louisiana,S,S6LA00425,,Charles,Marsala,"Marsala, Charles",,R,,,,,"3,684",0.19%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
296,LA,Louisiana,S,S6LA00375,,Abhay,Patel,"Patel, Abhay",,R,,,,,"1,576",0.08%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
297,LA,Louisiana,S,S6LA00474,,Arden,Wells,"Wells, Arden",,NPA,,,,,"1,483",0.08%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
298,LA,Louisiana,S,S0LA00170,,"William Robert ""Bob,"" Jr.",Lang,"Lang, William Robert ""Bob,"" Jr.",,OTH,,,,,"1,424",0.07%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
299,LA,Louisiana,S,S6LA00482,,"Gregory, Jr.",Taylor,"Taylor, Gregory, Jr.",,OTH,,,,,"1,151",0.06%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
300,LA,Louisiana,S,n/a,,,,,Total State Votes:,,,,,,"1,933,635",,"884,007",,,,,"*  In Louisiana, a Congressional primary election is not held. In 2016, the election for candidates seeking Federal office was the General Election held on November 8, 2016, with a Runoff Election held on December 10, 2016, if necessary."
301,LA,Louisiana,S,n/a,,,,,,,,,,,,,,,,,,
302,,,S,n/a,,,,,,,,,,,,,,,,,,
303,MD,Maryland,S,S6MD03441,,Chris,Van Hollen,"Van Hollen, Chris",,D,"470,320",53.18%,,,"1,659,907",60.89%,,,,,W,
304,MD,Maryland,S,S6MD03458,,Donna F.,Edwards,"Edwards, Donna F.",,D,"343,620",38.86%,,,,,,,,,,
305,MD,Maryland,S,S6MD03540,,"Freddie Donald, Jr.",Dickson,"Dickson, Freddie Donald, Jr.",,D,"14,856",1.68%,,,,,,,,,,
306,MD,Maryland,S,S6MD03334,,Theresa C.,Scaldaferri,"Scaldaferri, Theresa C.",,D,"13,178",1.49%,,,,,,,,,,
307,MD,Maryland,S,S6MD03482,,Violet,Staley,"Staley, Violet",,D,"10,244",1.16%,,,,,,,,,,
308,MD,Maryland,S,S6MD03375,,Lih,Young,"Young, Lih",,D,"8,561",0.97%,,,,,,,,,,
309,MD,Maryland,S,S6MD03359,,Charles U.,Smith,"Smith, Charles U.",,D,"7,912",0.89%,,,,,,,,,,
310,MD,Maryland,S,S2MD00412,,Ralph,Jaffe,"Jaffe, Ralph",,D,"7,161",0.81%,,,,,,,,,,
311,MD,Maryland,S,S2MD00438,,Blaine,Taylor,"Taylor, Blaine",,D,"5,932",0.67%,,,,,,,,,,
312,MD,Maryland,S,S2MD00446,,Ed,Tinus,"Tinus, Ed",,D,"2,560",0.29%,,,,,,,,,,
313,MD,Maryland,S,n/a,,,,,Party Votes:,D,"884,344",,,,,,,,,,,
314,MD,Maryland,S,S6MD03508,,Kathy,Szeliga,"Szeliga, Kathy",,R,"135,337",35.63%,,,"972,557",35.67%,,,,,,
315,MD,Maryland,S,S6MD03557,,Chris,Chaffee,"Chaffee, Chris",,R,"52,066",13.71%,,,,,,,,,,
316,MD,Maryland,S,S6MD03466,,Chrys,Kefalas,"Kefalas, Chrys",,R,"36,340",9.57%,,,,,,,,,,
317,MD,Maryland,S,S2MD00388,,Richard J.,Douglas,"Douglas, Richard J.",,R,"29,007",7.64%,,,,,,,,,,
318,MD,Maryland,S,S6MD03532,,Dave,Wallace,"Wallace, Dave",,R,"23,226",6.11%,,,,,,,,,,
319,MD,Maryland,S,S6MD03565 ,,Sean P.,Connor,"Connor, Sean P.",,R,"21,727",5.72%,,,,,,,,,,
320,MD,Maryland,S,S6MD03599,,Lynn,Richardson,"Richardson, Lynn",,R,"20,972",5.52%,,,,,,,,,,
321,MD,Maryland,S,S6MD03573 ,,John R.,Graziani,"Graziani, John R.",,R,"16,722",4.40%,,,,,,,,,,
322,MD,Maryland,S,S6MD03524,,Greg,Holmes,"Holmes, Greg",,R,"16,148",4.25%,,,,,,,,,,
323,MD,Maryland,S,S6MD03581,,Mark,McNicholas,"McNicholas, Mark",,R,"9,988",2.63%,,,,,,,,,,
324,MD,Maryland,S,S6MD03516,,Joseph David,Hooe,"Hooe, Joseph David",,R,"8,282",2.18%,,,,,,,,,,
325,MD,Maryland,S,S6MD03607,,Anthony,Seda,"Seda, Anthony",,R,"3,873",1.02%,,,,,,,,,,
326,MD,Maryland,S,S6MD03417,,Richard,Shawver,"Shawver, Richard",,R,"3,155",0.83%,,,,,,,,,,
327,MD,Maryland,S,S6MD03615,,Garry Thomas,Yarrington,"Yarrington, Garry Thomas",,R,"2,988",0.79%,,,,,,,,,,
328,MD,Maryland,S,n/a,,,,,Party Votes:,R,"379,831",,,,,,,,,,,
329,MD,Maryland,S,S6MD03474 ,,Margaret ,Flowers,"Flowers, Margaret ",,GRE,*,,,,"89,970",3.30%,,,,,,
330,MD,Maryland,S,n/a,,,Scattered,Scattered,,W,,,,,"3,231",0.12%,,,,,,"*  The Green Party held a party-organized primary on May 1, 2016.  The nominee is noted with an asterisk."
331,MD,Maryland,S,S6MD03623,,Greg,Dorsey,"Dorsey, Greg",,W,,,,,242,0.01%,,,,,,
332,MD,Maryland,S,S2MD00446,,Ed,Tinus,"Tinus, Ed",,W,,,,,138,0.01%,,,,,,
333,MD,Maryland,S,S6MD03375,,Lih,Young,"Young, Lih",,W,,,,,77,0.00%,,,,,,
334,MD,Maryland,S,S6MD03359,,Charles U.,Smith,"Smith, Charles U.",,W,,,,,26,0.00%,,,,,,
335,MD,Maryland,S,S6MD03326,,Bob,Robinson,"Robinson, Bob",,W,,,,,15,0.00%,,,,,,
336,MD,Maryland,S,n/a,,Jeffrey,Binkins,"Binkins, Jeffrey",,W,,,,,7,0.00%,,,,,,
337,MD,Maryland,S,n/a,,,,,Total State Votes:,,"1,264,175",,,,"2,726,170",,,,,,,
338,MD,Maryland,S,n/a,,,,,,,,,,,,,,,,,,
339,,,S,n/a,,,,,,,,,,,,,,,,,,
340,MO,Missouri,S,S0MO00183,(I),Roy ,Blunt,"Blunt, Roy ",,R,"481,444",72.55%,,,"1,378,458",49.18%,,,,,W,
341,MO,Missouri,S,S0MO00290,,Kristi,Nichols,"Nichols, Kristi",,R,"134,025",20.20%,,,,,,,,,,
342,MO,Missouri,S,S6MO00438,,Ryan D.,Luethy,"Luethy, Ryan D.",,R,"29,328",4.42%,,,,,,,,,,
343,MO,Missouri,S,S6MO00420,,Bernie,Mowinski,"Mowinski, Bernie",,R,"18,789",2.83%,,,,,,,,,,
344,MO,Missouri,S,n/a,,,,,Party Votes:,R,"663,586",,,,,,,,,,,
345,MO,Missouri,S,S6MO00362,,Jason,Kander,"Kander, Jason",,D,"223,492",69.87%,,,"1,300,200",46.39%,,,,,,
346,MO,Missouri,S,S6MO00396,,Cori,Bush,"Bush, Cori",,D,"42,453",13.27%,,,,,,,,,,
347,MO,Missouri,S,S6MO00404,,Chief Wana,Dubie,"Dubie, Chief Wana",,D,"30,432",9.51%,,,,,,,,,,
348,MO,Missouri,S,S6MO00412 ,,Robert,Mack,"Mack, Robert",,D,"23,509",7.35%,,,,,,,,,,
349,MO,Missouri,S,n/a,,,,,Party Votes:,D,"319,886",,,,,,,,,,,
350,MO,Missouri,S,S0MO00340,,Jonathan ,Dine,"Dine, Jonathan ",,LIB,"2,002",54.94%,,,"67,738",2.42%,,,,,,
351,MO,Missouri,S,S6MO00446,,Herschel L. ,Young,"Young, Herschel L. ",,LIB,"1,642",45.06%,,,,,,,,,,
352,MO,Missouri,S,n/a,,,,,Party Votes:,LIB,"3,644",,,,,,,,,,,
353,MO,Missouri,S,S6MO00479,,Jonathan ,McFarland,"McFarland, Jonathan ",,GRE,,,,,"30,743",1.10%,,,,,,
354,MO,Missouri,S,S6MO00453,,Fred ,Ryman,"Ryman, Fred ",,CON,545,100.00%,,,"25,407",0.91%,,,,,,
355,MO,Missouri,S,n/a,,,,,Party Votes:,CON,545,,,,,,,,,,,
356,MO,Missouri,S,n/a,,Patrick,Lee,"Lee, Patrick",,W,,,,,53,0.00%,,,,,,
357,MO,Missouri,S,n/a,,Gina,Bufe,"Bufe, Gina",,W,,,,,21,0.00%,,,,,,
358,MO,Missouri,S,n/a,,Nathaniel (Nate),Malone,"Malone, Nathaniel (Nate)",,W,,,,,12,0.00%,,,,,,
359,MO,Missouri,S,n/a,,Jon ,Kelly,"Kelly, Jon ",,W,,,,,4,0.00%,,,,,,
360,MO,Missouri,S,n/a,,Thomas,Morgan,"Morgan, Thomas",,W,,,,,4,0.00%,,,,,,
361,MO,Missouri,S,n/a,,Steven ,Wallace,"Wallace, Steven ",,W,,,,,1,0.00%,,,,,,
362,MO,Missouri,S,n/a,,,,,Total State Votes:,,"987,661",,,,"2,802,641",,,,,,,
363,MO,Missouri,S,n/a,,,,,,,,,,,,,,,,,,
364,,,S,n/a,,,,,,,,,,,,,,,,,,
365,NV,Nevada,S,S6NV00200,,Catherine,Cortez Masto,"Cortez Masto, Catherine",,D,"81,971",80.58%,,,"521,994",47.10%,,,,,W,
366,NV,Nevada,S,S6NV00309,,Allen,Rheinhart,"Rheinhart, Allen",,D,"5,650",5.55%,,,,,,,,,,
367,NV,Nevada,S,n/a,,,None of These Candidates,None of These Candidates,,D,"5,501",5.41%,,,,,,,,,,
368,NV,Nevada,S,S6NV00358,,Liddo Susan,O'Briant,"O'Briant, Liddo Susan",,D,"4,842",4.76%,,,,,,,,,,
369,NV,Nevada,S,S6NV00234,,Bobby,Mahendra,"Mahendra, Bobby",,D,"3,764",3.70%,,,,,,,,,,
370,NV,Nevada,S,n/a,,,,,Party Votes:,D,"101,728",,,,,,,,,,,
371,NV,Nevada,S,S6NV00218,,Joe,Heck,"Heck, Joe",,R,"74,524",64.90%,,,"495,079",44.67%,,,,,,
372,NV,Nevada,S,S0NV00138,,Sharron,Angle,"Angle, Sharron",,R,"26,146",22.77%,,,,,,,,,,
373,NV,Nevada,S,n/a,,,None of These Candidates,None of These Candidates,,R,"3,903",3.40%,,,,,,,,,,
374,NV,Nevada,S,S6NV00275,,"Thomas ""SAD Tom""",Heck,"Heck, Thomas ""SAD Tom""",,R,"3,567",3.11%,,,,,,,,,,
375,NV,Nevada,S,S6NV00168,,Eddie,Hamilton,"Hamilton, Eddie",,R,"2,057",1.79%,,,,,,,,,,
376,NV,Nevada,S,S6NV00267,,D'Nese,Davis,"Davis, D'Nese",,R,"1,938",1.69%,,,,,,,,,,
377,NV,Nevada,S,S6NV00325,,Bill,Tarbell,"Tarbell, Bill",,R,"1,179",1.03%,,,,,,,,,,
378,NV,Nevada,S,S6NV00226,,Robert X.,Leeds,"Leeds, Robert X.",,R,662,0.58%,,,,,,,,,,
379,NV,Nevada,S,S6NV00291,,Juston J.,Preble,"Preble, Juston J.",,R,582,0.51%,,,,,,,,,,
380,NV,Nevada,S,S4NV00197,,"Carlo ""Mazunga""",Poliak,"Poliak, Carlo ""Mazunga""",,R,279,0.24%,,,,,,,,,,
381,NV,Nevada,S,n/a,,,,,Party Votes:,R,"114,837",,,,,,,,,,,
382,NV,Nevada,S,n/a,,,None of These Candidates,None of These Candidates,,W,,,,,"42,257",3.81%,,,,,,
383,NV,Nevada,S,S6NV00242,,Tom,Jones,"Jones, Tom",,IAP,,,,,"17,128",1.55%,,,,,,
384,NV,Nevada,S,S6NV00317,,"Thomas ""Tom""",Sawyer,"Sawyer, Thomas ""Tom""",,NPY,,,,,"14,208",1.28%,,,,,,
385,NV,Nevada,S,S6NV00259,,Tony,Gumina,"Gumina, Tony",,NPY,,,,,"10,740",0.97%,,,,,,
386,NV,Nevada,S,S6NV00341,,Jarrod M.,Williams,"Williams, Jarrod M.",,NPY,,,,,"6,888",0.62%,,,,,,
387,NV,Nevada,S,n/a,,,,,Total State Votes:,,"216,565",,,,"1,108,294",,,,,,,
