STATE,"Sex, Race and Hispanic-Origin",Total Population,Total Citizen Population,Total registered,"Percent registered (Total)","Margin of Error registered (Total)","Percent registered (Citizen)","Margin of Error registered (Citizen)",Total voted,"Percent voted (Total)","Margin of Error voted (Total)","Percent voted (Citizen)","Margin of Error voted (Citizen)",,,,,
ARKANSAS,Hispanic (of any race),135,77,29,B,B,B,B,24,B,B,B,B,,,,,
ARKANSAS,White alone or in combination,"1,848","1,775","1,213",65.6,2.9,68.3,2.9,"1,043",56.5,3.0,58.8,3.1,,,,,
ARKANSAS,Black alone or in combination,325,320,235,72.2,7.9,73.3,7.9,190,58.4,8.7,59.3,8.7,,,,,
ARKANSAS,Asian alone or in combination,36,16,6,B,B,B,B,6,B,B,B,B,,,,,
CALIFORNIA,Total,"29,894","24,890","16,096",53.8,1.0,64.7,1.0,"14,416",48.2,1.0,57.9,1.0,,,,,
CALIFORNIA,Male,"14,604","12,131","7,663",52.5,1.4,63.2,1.5,"6,833",46.8,1.4,56.3,1.5,,,,,
CALIFORNIA,Female,"15,289","12,759","8,433",55.2,1.3,66.1,1.4,"7,583",49.6,1.3,59.4,1.4,,,,,
CALIFORNIA,White alone,"21,592","18,104","12,084",56.0,1.1,66.7,1.2,"10,908",50.5,1.1,60.3,1.2,,,,,
CALIFORNIA,White non-Hispanic alone,"12,480","11,954","8,732",70.0,1.4,73.0,1.3,"8,020",64.3,1.4,67.1,1.4,,,,,
CALIFORNIA,Black alone,"1,849","1,768","1,018",55.0,4.6,57.6,4.7,856,46.3,4.7,48.4,4.8,,,,,
CALIFORNIA,Asian alone,"4,838","3,585","2,080",43.0,3.0,58.0,3.5,"1,859",38.4,2.9,51.9,3.5,,,,,
CALIFORNIA,Hispanic (of any race),"10,221","7,092","3,882",38.0,2.5,54.7,3.1,"3,345",32.7,2.4,47.2,3.1,,,,,
CALIFORNIA,White alone or in combination,"22,327","18,781","12,589",56.4,1.1,67.0,1.1,"11,363",50.9,1.1,60.5,1.2,,,,,
CALIFORNIA,Black alone or in combination,"2,111","2,007","1,161",55.0,4.3,57.9,4.4,990,46.9,4.4,49.3,4.5,,,,,
CALIFORNIA,Asian alone or in combination,"5,066","3,798","2,243",44.3,2.9,59.0,3.3,"2,007",39.6,2.9,52.8,3.4,,,,,
COLORADO,Total,"4,242","3,895","2,893",68.2,2.4,74.3,2.3,"2,707",63.8,2.5,69.5,2.5,,,,,
COLORADO,Male,"2,102","1,902","1,401",66.7,3.4,73.7,3.4,"1,297",61.7,3.5,68.2,3.6,,,,,
COLORADO,Female,"2,140","1,994","1,492",69.7,3.3,74.8,3.2,"1,410",65.9,3.4,70.7,3.4,,,,,
COLORADO,White alone,"3,743","3,517","2,663",71.2,2.5,75.7,2.4,"2,494",66.6,2.6,70.9,2.5,,,,,
COLORADO,White non-Hispanic alone,"3,181","3,125","2,421",76.1,2.5,77.5,2.5,"2,281",71.7,2.7,73.0,2.6,,,,,
COLORADO,Black alone,185,167,124,67.0,13.9,74.1,13.7,124,67.0,13.9,74.1,13.7,,,,,
COLORADO,Asian alone,170,104,39,22.7,13.5,37.0,19.9,35,20.5,13.0,33.4,19.4,,,,,
COLORADO,Hispanic (of any race),633,426,272,42.9,10.3,63.8,12.2,237,37.4,10.1,55.6,12.6,,,,,
COLORADO,White alone or in combination,"3,857","3,595","2,711",70.3,2.4,75.4,2.4,"2,538",65.8,2.5,70.6,2.5,,,,,
COLORADO,Black alone or in combination,188,170,127,67.6,13.7,74.6,13.4,127,67.6,13.7,74.6,13.4,,,,,
COLORADO,Asian alone or in combination,188,122,52,27.5,13.7,42.2,18.8,44,23.5,13.0,36.1,18.3,,,,,
CONNECTICUT,Total,"2,759","2,483","1,763",63.9,2.6,71.0,2.6,"1,586",57.5,2.7,63.9,2.8,,,,,
CONNECTICUT,Male,"1,321","1,182",798,60.4,3.9,67.5,3.9,718,54.4,4.0,60.7,4.1,,,,,
CONNECTICUT,Female,"1,438","1,301",965,67.1,3.6,74.2,3.5,868,60.4,3.7,66.7,3.8,,,,,
CONNECTICUT,White alone,"2,258","2,090","1,538",68.1,2.8,73.6,2.8,"1,378",61.0,3.0,65.9,3.0,,,,,
CONNECTICUT,White non-Hispanic alone,"1,959","1,897","1,427",72.8,2.9,75.2,2.9,"1,287",65.7,3.1,67.8,3.1,,,,,
CONNECTICUT,Black alone,297,266,157,53.0,10.1,59.2,10.5,142,47.9,10.1,53.5,10.7,,,,,
CONNECTICUT,Asian alone,143,83,31,B,B,B,B,29,B,B,B,B,,,,,
CONNECTICUT,Hispanic (of any race),417,278,151,36.3,10.7,54.4,13.6,131,31.5,10.3,47.2,13.6,,,,,
CONNECTICUT,White alone or in combination,"2,281","2,113","1,561",68.4,2.8,73.9,2.8,"1,401",61.4,2.9,66.3,3.0,,,,,
CONNECTICUT,Black alone or in combination,324,293,185,57.0,9.6,63.0,9.8,170,52.3,9.7,57.9,10.1,,,,,
CONNECTICUT,Asian alone or in combination,148,88,36,B,B,B,B,34,B,B,B,B,,,,,
DELAWARE,Total,729,669,487,66.8,2.6,72.8,2.5,417,57.2,2.7,62.3,2.8,,,,,
