Topic,Branch,Yea,Nay,Not Voting
ACA Repeal,House,0.5195745721884634,0.4786222011778638,0.00180322663367283
ACA Repeal,Senate,0.39833771241228094,0.601662287587719,0.0
Tax Cut,House,0.5378031309140098,0.44452733038563536,0.017669538700354835
Tax Cut,Senate,0.40229698378512063,0.5877463761893504,0.009956640025528896
Gorsuch Confirmation,Senate,0.41351220189514415,0.5730019022583306,0.01348589584652527
Kavanaugh Confirmation,Senate,0.40727862396258047,0.5927213760374196,0.0
