State,Year,PARTY,Power_House,Power_Senate,Power_Total
AK,2000,REP,3.644407838392379,,
AK,2002,REP,4.39126138983423,,
AK,2004,REP,3.3333777783703784,7.436838005216942,35.68362310106407
AK,2006,REP,4.261757122461591,7.436838005216942,36.612002445155284
AK,2008,REP,3.1547930771220716,6.389388503573265,30.948633067665774
AK,2010,REP,3.9318222029999803,6.953365515826729,34.17896219684625
AK,2012,REP,3.450607997129094,6.953365515826729,33.697747990975365
AK,2014,REP,3.5747352014899496,7.408257985176076,35.800657437005874
AK,2016,REP,3.2446673891459388,6.735809753789314,32.54543981812945
AL,2000,REP,4.864509511505955,,
AL,2002,REP,5.517015263216798,,
AL,2004,REP,3.9045962117607553,1.2530978929472205,9.355572046081164
AL,2006,REP,6.13953227288993,1.2530978929472205,11.59050810721034
AL,2008,REP,3.7730397980237895,1.0258364606385268,8.23542840180138
AL,2010,REP,5.117905577566612,1.1281302087886984,10.025271985797449
AL,2012,REP,3.6201341518284265,1.1281302087886984,8.527500560059263
AL,2014,REP,6.476204574050773,1.7364208632703142,14.02963532927664
AL,2016,REP,3.704321090552129,1.376683253405398,9.69289324286561
AR,2000,REP,6.321462154196266,,
AR,2002,REP,5.811622081839262,,
AR,2004,REP,5.055356149840756,2.170011739763512,14.494907217812033
AR,2006,REP,5.242388379721917,2.170011739763512,14.681939447693193
AR,2008,REP,5.081345997741342,1.950170225483557,13.564586478594812
AR,2010,REP,5.16712417245277,2.2325028980678248,14.878511779047807
AR,2012,REP,3.8533640831787173,2.2325028980678248,13.564751689773754
AR,2014,REP,4.815494334570915,2.457814683230699,15.506988206624456
AR,2016,REP,3.7432959908364114,2.0460075487448512,12.643428827876514
AZ,2000,REP,4.09373004306604,,
AZ,2002,REP,6.697923643670462,,
AZ,2004,REP,4.274771633684132,1.1909181770734556,9.455265703953664
AZ,2006,REP,5.357800622844322,1.1466381000894665,10.3456763582335
AZ,2008,REP,3.711101853973709,1.1466381000894665,8.698977589362887
AZ,2010,REP,4.71102291029329,1.2363743815809891,10.089251470170591
AZ,2012,REP,4.141135416508498,1.0121698238773897,8.544074150375142
AZ,2014,REP,6.132390126306795,1.0121698238773897,10.53532886017344
AZ,2016,REP,3.7312442787587727,0.8378451293549095,7.375870591452629
CA,2000,DEM,4.981957171455493,,
CA,2002,DEM,7.301867611078284,,
CA,2004,DEM,4.559628890944259,0.17639088290207453,5.326929231568283
CA,2006,DEM,6.388762720870376,0.19422405813592197,7.233637373761637
CA,2008,DEM,4.3012222206983095,0.19422405813592197,5.1460968735895705
CA,2010,DEM,5.49343881288653,0.21573418441907313,6.431882515109498
CA,2012,DEM,4.342711377584251,0.17716069950307753,5.113360420422639
CA,2014,DEM,7.430856927822965,0.17716069950307753,8.201505970661351
