1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
22,AK,Alaska,S,n/a,,,Scattered,Scattered,,W,,,,,"1,376",0.49%,,,,,,,,
23,AK,Alaska,S,n/a,,,,,Total State Votes:,,"181,430",,,,"282,400",,,,,,,,,
24,,,,n/a,,,,,,,,,,,,,,,,,,,,
25,AR,Arkansas,S,S4AR00103 ,,Tom ,Cotton,"Cotton, Tom ",,R,Unopposed,,,,"478,819",56.50%,,,,,W,,,
26,AR,Arkansas,S,S0AR00028 ,(I),Mark ,Pryor,"Pryor, Mark ",,D,Unopposed,,,,"334,174",39.43%,,,,,,,,
27,AR,Arkansas,S,S4AR00129,,Nathan ,LaFrance,"LaFrance, Nathan ",,LIB,Unopposed,,,,"17,210",2.03%,,,,,,,,
28,AR,Arkansas,S,S4AR00111,,Mark H.,Swaney,"Swaney, Mark H.",,GRE,Unopposed,,,,"16,797",1.98%,,,,,,,,
29,AR,Arkansas,S,S4AR00137,,Scott,Pfleegor,"Pfleegor, Scott",,W,,,,,505,0.06%,,,,,,,,
30,AR,Arkansas,S,n/a,,,,,Total State Votes:,,,,,,"847,505",,,,,,,,,
31,,,,n/a,,,,,,,,,,,,,,,,,,,,
32,CO,Colorado,S,S4CO00395,,Cory,Gardner,"Gardner, Cory",,R,"338,324",100.00%,,,"983,891",48.20%,,,,,W,,,
33,CO,Colorado,S,n/a,,,,,Party Votes:,R,"338,324",,,,,,,,,,,,,
34,CO,Colorado,S,S8CO00172,(I),Mark,Udall,"Udall, Mark",,D,"213,746",100.00%,,,"944,203",46.26%,,,,,,,,
35,CO,Colorado,S,n/a,,,,,Party Votes:,D,"213,746",,,,,,,,,,,,,
36,CO,Colorado,S,S4CO00403,,Gaylon,Kent,"Kent, Gaylon",,LIB,,,,,"52,876",2.59%,,,,,,,,
37,CO,Colorado,S,S4CO00387,,Steve,Shogan,"Shogan, Steve",,UN,,,,,"29,472",1.44%,,,,,,,,
38,CO,Colorado,S,S4CO00296,,R‡ul,Acosta,"Acosta, R‡ul",,UN,,,,,"24,151",1.18%,,,,,,,,
