STATE ABBREVIATION,D,INCUMBENT INDICATOR,CANDIDATE NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL VOTES ,COMBINED PARTIES,,,,,,,,,,,,,,
WI,S,,Scattered,W(R),851,,,,,,,,,,,,,,,,,
WI,S,,"Raymond, Robert R.",CON,508,,"4,296",,,,,,,,,,,,,,,
WI,S,,Scattered,W(CON),7,,,,,,,,,,,,,,,,,
WI,S,,"Peterson, Tim",LBT,"1,211",,"21,348",,,,,,,,,,,,,,,
WI,S,,Scattered,W(LBT),11,,,,,,,,,,,,,,,,,
WI,S,,Scattered,W(WG),8,,,,,,,,,,,,,,,,,
WI,S,,"Hem, Eugene A.",I,,,"9,555",,,,,,,,,,,,,,,
WI,S,,Scattered,W,,,902,,,,,,,,,,,,,,,
WV,S,(I),"Byrd, Robert C.",D,"251,438",,"469,215",,,,,,,,,,,,,,,
WV,S,,"Adkins, Garry P.",R,"39,254",,,,,,,,,,,,,,,,,
WV,S,,"Gallaher, David T.",R,"42,446",,"121,635",,,,,,,,,,,,,,,
WV,S,,"Whelan, Joe",LBT,256,,"12,627",,,,,,,,,,,,,,,
WY,S,,"Logan, Mel",D,"16,530",,"47,087",,,,,,,,,,,,,,,
WY,S,,"Sumey, Shelden",D,"9,062",,,,,,,,,,,,,,,,,
WY,S,(I),"Thomas, Craig",R,"68,132",,"157,622",,,,,,,,,,,,,,,
WY,S,,"Dawson, Margaret",LBT,,,"8,950",,,,,,,,,,,,,,,
,,,TOTAL VOTES:,,"23,671,885","275,788","79,315,481",,,,,,,,,,,,,,,
