STATE ABBREVIATION,D,INCUMBENT INDICATOR,CANDIDATE NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL VOTES ,COMBINED PARTIES,,,,,,,,,,,,,,
MA,S,,"Robinson, Jack E. III",R,"42,263",,"334,341",,,,,,,,,,,,,,,
MA,S,,Scattered,W(R),"1,492",,,,,,,,,,,,,,,,,
MA,S,,"Howell, Carla A.",LBT,"1,219",,"308,860",,,,,,,,,,,,,,,
MA,S,,Scattered,W(LBT),18,,,,,,,,,,,,,,,,,
MA,S,,"Friedgen, Dale E.",U,,,"13,687",,,,,,,,,,,,,,,
MA,S,,"Hyde, Philip III",TND,,,"8,452",,,,,,,,,,,,,,,
MA,S,,"Lawler, Philip F.",CON,,,"42,113",,,,,,,,,,,,,,,
MA,S,,Scattered,W,,,"2,473",,,,,,,,,,,,,,,
MD,S,,"Altman, Sidney",D,"31,502",,,,,,,,,,,,,,,,,
MD,S,,"English, George",D,"45,984",,,,,,,,,,,,,,,,,
MD,S,(I),"Sarbanes, Paul S.",D,"384,748",,"1,230,013",,,,,,,,,,,,,,,
MD,S,,"Ficker, Robin",R,"46,995",,,,,,,,,,,,,,,,,
MD,S,,"Greyber, Howard David",R,"10,252",,,,,,,,,,,,,,,,,
MD,S,,"Pierpont, Ross Z.",R,"52,052",,,,,,,,,,,,,,,,,
MD,S,,"Rappaport, Paul H.",R,"70,231",,"715,178",,,,,,,,,,,,,,,
MD,S,,"Sobhani, Rob",R,"53,084",,,,,,,,,,,,,,,,,
MD,S,,"Stafford, John",R,"18,656",,,,,,,,,,,,,,,,,
MD,S,,"Timmerman, Kenneth R.",R,"30,146",,,,,,,,,,,,,,,,,
MD,S,,"Wayman, Ken",R,"28,461",,,,,,,,,,,,,,,,,
MD,S,,"Vaughn, Corrogan R.",W,,,113,,,,,,,,,,,,,,,
MD,S,,Scattered,W,,,"1,594",,,,,,,,,,,,,,,
ME,S,,"Lawrence, Mark W.",D,"26,543",,"197,183",,,,,,,,,,,,,,,
ME,S,(I),"Snowe, Olympia J.",R,"34,757",,"437,689",,,,,,,,,,,,,,,
MI,S,,"Stabenow, Debbie",D,"417,503",,"2,061,952",,,,,,,,,,,,,,,
MI,S,(I),"Abraham, Spence",R,"527,278",,"1,994,693",,,,,,,,,,,,,,,
MI,S,,"Abel, Matthew R.",GRN,,,"37,542",,,,,,,,,,,,,,,
MI,S,,"Corliss, Michael R.",LBT,,,"29,966",,,,,,,,,,,,,,,
MI,S,,"Quarton, William",NL,,,"5,630",,,,,,,,,,,,,,,
MI,S,,"Forton, Mark A.",REF,,,"26,274",,,,,,,,,,,,,,,
MI,S,,"Mangopoulos, John",UST,,,"11,628",,,,,,,,,,,,,,,
MN,S,,"Ciresi, Mike",DFL,"96,874",,,,,,,,,,,,,,,,,
MN,S,,"Dayton, Mark",DFL,"178,972",,"1,181,553",,,,,,,,,,,,,,,
MN,S,,"Dorland, Hal",DFL,610,,,,,,,,,,,,,,,,,
MN,S,,"Franson, ""Dick""",DFL,"1,336",,,,,,,,,,,,,,,,,
MN,S,,"Iverson, Gregg A.",DFL,"1,038",,,,,,,,,,,,,,,,,
MN,S,,"Janezich, Jerry R.",DFL,"90,074",,,,,,,,,,,,,,,,,
MN,S,,"Savior, Ole’",DFL,"1,206",,,,,,,,,,,,,,,,,
MN,S,,"Yanisch, Rebecca",DFL,"63,289",,,,,,,,,,,,,,,,,
MN,S,,"Dahn, Bill",R,"13,728",,,,,,,,,,,,,,,,,
MN,S,(I),"Grams, Rod",R,"112,335",,"1,047,474",,,,,,,,,,,,,,,
